terse_version;fio_version;jobname;groupid;error;READ_kb;READ_bandwidth;READ_IOPS;READ_runtime;READ_Slat_min;READ_Slat_max;READ_Slat_mean;READ_Slat_dev;READ_Clat_max;READ_Clat_min;READ_Clat_mean;READ_Clat_dev;READ_clat_pct01;READ_clat_pct02;READ_clat_pct03;READ_clat_pct04;READ_clat_pct05;READ_clat_pct06;READ_clat_pct07;READ_clat_pct08;READ_clat_pct09;READ_clat_pct10;READ_clat_pct11;READ_clat_pct12;READ_clat_pct13;READ_clat_pct14;READ_clat_pct15;READ_clat_pct16;READ_clat_pct17;READ_clat_pct18;READ_clat_pct19;READ_clat_pct20;READ_tlat_min;READ_lat_max;READ_lat_mean;READ_lat_dev;READ_bw_min;READ_bw_max;READ_bw_agg_pct;READ_bw_mean;READ_bw_dev;WRITE_kb;WRITE_bandwidth;WRITE_IOPS;WRITE_runtime;WRITE_Slat_min;WRITE_Slat_max;WRITE_Slat_mean;WRITE_Slat_dev;WRITE_Clat_max;WRITE_Clat_min;WRITE_Clat_mean;WRITE_Clat_dev;WRITE_clat_pct01;WRITE_clat_pct02;WRITE_clat_pct03;WRITE_clat_pct04;WRITE_clat_pct05;WRITE_clat_pct06;WRITE_clat_pct07;WRITE_clat_pct08;WRITE_clat_pct09;WRITE_clat_pct10;WRITE_clat_pct11;WRITE_clat_pct12;WRITE_clat_pct13;WRITE_clat_pct14;WRITE_clat_pct15;WRITE_clat_pct16;WRITE_clat_pct17;WRITE_clat_pct18;WRITE_clat_pct19;WRITE_clat_pct20;WRITE_tlat_min;WRITE_lat_max;WRITE_lat_mean;WRITE_lat_dev;WRITE_bw_min;WRITE_bw_max;WRITE_bw_agg_pct;WRITE_bw_mean;WRITE_bw_dev;CPU_user;CPU_sys;CPU_csw;CPU_mjf;PU_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_utilization
3;fio-2.18;async-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;323414;80853;32422;1;24;2.037537;0.266970;3;5921;9.516112;17.451789;1.000000%=8;5.000000%=8;10.000000%=9;20.000000%=9;30.000000%=9;40.000000%=9;50.000000%=9;60.000000%=9;70.000000%=9;80.000000%=9;90.000000%=10;95.000000%=15;99.000000%=17;99.500000%=19;99.900000%=21;99.950000%=25;99.990000%=48;0%=0;0%=0;0%=0;10;5923;11.649971;17.452785;0;0;0.000000%;0.000000;0.000000;22.491595%;18.654576%;2621444;0;1;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.01%;87.47%;12.06%;0.46%;0.01%;0.01%;0.01%;0.00%;0.00%;0.00%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;15;2619344;0;0;4;20060;19876;61.17%
3;fio-2.18;async-1-16;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;933561;233390;11232;1;45;2.260545;1.245961;7;7746;65.622594;144.986775;1.000000%=17;5.000000%=34;10.000000%=41;20.000000%=45;30.000000%=46;40.000000%=48;50.000000%=49;60.000000%=50;70.000000%=51;80.000000%=54;90.000000%=64;95.000000%=90;99.000000%=692;99.500000%=1064;99.900000%=1320;99.950000%=1544;99.990000%=6432;0%=0;0%=0;0%=0;9;7748;67.968108;144.961522;0;0;0.000000%;0.000000;0.000000;26.961090%;50.787998%;24127;0;1;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.00%;0.00%;0.15%;1.10%;56.56%;37.69%;2.80%;0.58%;0.17%;0.31%;0.61%;0.01%;0.03%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;2601245;0;0;0;90212;89968;98.84%
3;fio-2.18;async-1-32;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;933727;233431;11230;1;49;2.258727;1.297650;7;8623;134.154035;223.614059;1.000000%=18;5.000000%=52;10.000000%=78;20.000000%=92;30.000000%=96;40.000000%=98;50.000000%=100;60.000000%=101;70.000000%=103;80.000000%=107;90.000000%=147;95.000000%=237;99.000000%=1256;99.500000%=1368;99.900000%=1784;99.950000%=4048;99.990000%=6816;0%=0;0%=0;0%=0;9;8624;136.497636;223.564361;0;0;0.000000%;0.000000;0.000000;26.538427%;50.975154%;19419;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.00%;0.00%;0.13%;0.97%;3.56%;43.26%;47.43%;2.07%;0.38%;0.31%;1.81%;0.01%;0.05%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;0;2600920;0;0;0;168804;168752;99.14%
3;fio-2.18;async-1-64;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;951348;237837;11022;1;62;2.233724;1.303425;7;7858;266.187538;342.835057;1.000000%=25;5.000000%=75;10.000000%=113;20.000000%=171;30.000000%=193;40.000000%=199;50.000000%=201;60.000000%=205;70.000000%=209;80.000000%=239;90.000000%=338;95.000000%=588;99.000000%=1720;99.500000%=1800;99.900000%=4576;99.950000%=6496;99.990000%=7392;0%=0;0%=0;0%=0;9;7859;268.506484;342.743524;0;0;0.000000%;0.000000;0.000000;25.660103%;52.372743%;12370;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.09%;0.60%;2.11%;5.21%;73.21%;13.08%;1.21%;0.35%;3.96%;0.06%;0.11%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;17;2589936;0;0;0;321228;321024;99.05%
3;fio-2.18;async-1-128;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;952385;238096;11010;1;66;2.235573;1.371355;7;9203;534.675335;536.739135;1.000000%=31;5.000000%=104;10.000000%=163;20.000000%=270;30.000000%=362;40.000000%=398;50.000000%=406;60.000000%=410;70.000000%=466;80.000000%=604;90.000000%=916;95.000000%=1864;99.000000%=2192;99.500000%=2320;99.900000%=7072;99.950000%=7712;99.990000%=8384;0%=0;0%=0;0%=0;9;9204;536.996103;536.610280;0;0;0.000000%;0.000000;0.000000;26.741757%;51.666818%;9827;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.07%;0.45%;1.32%;2.83%;13.20%;54.52%;14.89%;3.38%;5.38%;3.75%;0.21%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;2594100;0;0;4;656712;657016;99.15%
3;fio-2.18;sync-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;300047;75011;34947;0;0;0.000000;0.000000;10;6098;12.578341;16.674514;1.000000%=11;5.000000%=11;10.000000%=11;20.000000%=12;30.000000%=12;40.000000%=12;50.000000%=12;60.000000%=12;70.000000%=12;80.000000%=12;90.000000%=13;95.000000%=18;99.000000%=22;99.500000%=23;99.900000%=30;99.950000%=31;99.990000%=39;0%=0;0%=0;0%=0;10;6098;12.692649;16.673958;0;0;0.000000%;0.000000;0.000000;18.691696%;14.468036%;2621446;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;97.00%;3.00%;0.01%;0.01%;0.01%;0.00%;0.00%;0.00%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;42;2617583;0;0;0;22372;22144;63.28%
3;fio-2.18;sync-64-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;366865;91716;28582;0;0;0.000000;0.000000;11;12049;695.628288;882.960701;1.000000%=12;5.000000%=14;10.000000%=18;20.000000%=42;30.000000%=106;40.000000%=213;50.000000%=346;60.000000%=494;70.000000%=716;80.000000%=1400;90.000000%=2096;95.000000%=2384;99.000000%=3472;99.500000%=4320;99.900000%=6560;99.950000%=7968;99.990000%=9408;0%=0;0%=0;0%=0;11;12049;695.847600;882.960653;0;0;0.000000%;0.000000;0.000000;0.274589%;0.693041%;2621601;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;11.38%;10.33%;7.84%;13.32%;17.69%;10.38%;5.30%;12.07%;10.98%;0.71%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;170;2594790;0;0;12;1796880;1804576;99.86%
3;fio-2.18;sync-128-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;231688;57922;45258;0;0;0.000000;0.000000;11;20832;2204.856698;1981.537158;1.000000%=12;5.000000%=13;10.000000%=17;20.000000%=56;30.000000%=442;40.000000%=1256;50.000000%=2008;60.000000%=2736;70.000000%=3312;80.000000%=3984;90.000000%=4960;95.000000%=5408;99.000000%=6624;99.500000%=7904;99.900000%=13120;99.950000%=14144;99.990000%=14912;0%=0;0%=0;0%=0;11;20832;2205.061623;1981.540109;0;0;0.000000%;0.000000;0.000000;0.084733%;0.207371%;2621518;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;11.63%;7.13%;4.29%;3.46%;4.46%;3.38%;2.76%;12.77%;30.38%;19.40%;0.34%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;330;2617003;0;0;92;5759056;5778212;99.92%
3;fio-2.18;sync-196-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10486000;350409;87602;29925;0;0;0.000000;0.000000;12;19254;2229.378596;1851.256813;1.000000%=34;5.000000%=69;10.000000%=121;20.000000%=314;30.000000%=740;40.000000%=1400;50.000000%=2024;60.000000%=2608;70.000000%=3184;80.000000%=3792;90.000000%=4832;95.000000%=5344;99.000000%=6496;99.500000%=7840;99.900000%=12352;99.950000%=14528;99.990000%=18048;0%=0;0%=0;0%=0;13;19254;2229.604562;1851.257859;0;0;0.000000%;0.000000;0.000000;0.094535%;0.215474%;2621742;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.18%;1.92%;5.61%;9.91%;7.43%;5.13%;4.04%;15.36%;32.49%;17.59%;0.32%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;321;2619927;0;0;92;5824880;5849532;99.88%
3;fio-2.18;sync-256-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;685119;171279;15305;0;0;0.000000;0.000000;12;35331;1474.336275;1487.742033;1.000000%=30;5.000000%=60;10.000000%=98;20.000000%=235;30.000000%=454;40.000000%=740;50.000000%=996;60.000000%=1528;70.000000%=2160;80.000000%=2480;90.000000%=3120;95.000000%=4192;99.000000%=5984;99.500000%=7264;99.900000%=11456;99.950000%=19072;99.990000%=23680;0%=0;0%=0;0%=0;12;35331;1474.575821;1487.750284;0;0;0.000000%;0.000000;0.000000;0.156033%;0.345567%;2622342;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.22%;3.10%;6.84%;10.69%;10.95%;8.56%;9.70%;16.38%;27.87%;5.54%;0.10%;0.04%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;247;2602384;0;0;140;3827100;3850780;99.53%
3;fio-2.18;async-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;322103;80525;32554;1;24;2.056454;0.275354;4;5997;9.531453;19.146488;1.000000%=8;5.000000%=8;10.000000%=9;20.000000%=9;30.000000%=9;40.000000%=9;50.000000%=9;60.000000%=9;70.000000%=9;80.000000%=9;90.000000%=10;95.000000%=15;99.000000%=17;99.500000%=19;99.900000%=21;99.950000%=25;99.990000%=48;0%=0;0%=0;0%=0;10;5999;11.686760;19.147515;0;0;0.000000%;0.000000;0.000000;21.736860%;19.426781%;2621444;0;1;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;87.22%;12.31%;0.47%;0.01%;0.01%;0.00%;0.01%;0.00%;0.00%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;11;2609174;0;0;0;20332;20112;61.90%
3;fio-2.18;async-1-16;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;923367;230841;11356;1;44;2.275739;1.290916;7;7846;66.364859;140.373731;1.000000%=15;5.000000%=34;10.000000%=41;20.000000%=44;30.000000%=46;40.000000%=48;50.000000%=49;60.000000%=50;70.000000%=51;80.000000%=54;90.000000%=66;95.000000%=113;99.000000%=588;99.500000%=892;99.900000%=1448;99.950000%=1608;99.990000%=6560;0%=0;0%=0;0%=0;9;7847;68.726149;140.350939;0;0;0.000000%;0.000000;0.000000;26.208719%;51.325407%;27458;0;1;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.00%;0.00%;0.19%;1.33%;57.33%;35.56%;3.40%;1.04%;0.40%;0.38%;0.34%;0.01%;0.03%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;2571113;0;0;4;91328;91164;98.72%
3;fio-2.18;async-1-32;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;938407;234601;11174;1;73;2.260234;1.311793;4;7416;133.476719;213.008576;1.000000%=18;5.000000%=50;10.000000%=75;20.000000%=91;30.000000%=96;40.000000%=98;50.000000%=100;60.000000%=101;70.000000%=103;80.000000%=107;90.000000%=155;95.000000%=262;99.000000%=1160;99.500000%=1336;99.900000%=1752;99.950000%=4080;99.990000%=6688;0%=0;0%=0;0%=0;9;7418;135.822097;212.953405;0;0;0.000000%;0.000000;0.000000;26.385035%;51.517050%;20560;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.00%;0.00%;0.14%;0.97%;3.86%;43.24%;46.52%;2.58%;0.56%;0.65%;1.42%;0.01%;0.05%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;15;2614338;0;0;4;146864;146664;98.87%
3;fio-2.18;async-1-64;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;946368;236592;11080;1;71;2.256906;1.389765;7;7476;267.564293;329.081974;1.000000%=25;5.000000%=76;10.000000%=113;20.000000%=167;30.000000%=193;40.000000%=201;50.000000%=203;60.000000%=205;70.000000%=211;80.000000%=253;90.000000%=354;95.000000%=708;99.000000%=1672;99.500000%=1768;99.900000%=4192;99.950000%=6368;99.990000%=6816;0%=0;0%=0;0%=0;9;7477;269.906656;328.988642;0;0;0.000000%;0.000000;0.000000;27.150465%;51.484791%;12946;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.09%;0.61%;2.01%;5.26%;71.75%;13.91%;1.50%;0.74%;3.97%;0.06%;0.11%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;14;2576750;0;0;0;288660;288416;99.13%
3;fio-2.18;async-1-128;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;947822;236955;11063;1;73;2.252342;1.395889;3;8252;537.225822;525.113737;1.000000%=30;5.000000%=101;10.000000%=163;20.000000%=270;30.000000%=358;40.000000%=394;50.000000%=406;60.000000%=414;70.000000%=486;80.000000%=620;90.000000%=1048;95.000000%=1736;99.000000%=2192;99.500000%=2320;99.900000%=6560;99.950000%=7328;99.990000%=7904;0%=0;0%=0;0%=0;9;8254;539.564091;524.986672;0;0;0.000000%;0.000000;0.000000;25.564997%;53.154945%;10622;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.01%;0.08%;0.47%;1.43%;2.90%;13.19%;52.81%;15.50%;3.37%;7.06%;2.97%;0.21%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;2583221;0;0;0;678832;678680;99.18%
3;fio-2.18;sync-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;299953;74988;34958;0;0;0.000000;0.000000;10;5996;12.570897;17.942906;1.000000%=11;5.000000%=11;10.000000%=11;20.000000%=12;30.000000%=12;40.000000%=12;50.000000%=12;60.000000%=12;70.000000%=12;80.000000%=12;90.000000%=13;95.000000%=18;99.000000%=22;99.500000%=23;99.900000%=29;99.950000%=31;99.990000%=52;0%=0;0%=0;0%=0;10;5996;12.677522;17.942489;0;0;0.000000%;0.000000;0.000000;17.507223%;15.653517%;2621449;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;97.34%;2.64%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;2616815;0;0;4;22876;22660;64.76%
3;fio-2.18;sync-64-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;348017;87004;30130;0;0;0.000000;0.000000;10;12242;733.260439;901.483168;1.000000%=12;5.000000%=14;10.000000%=18;20.000000%=42;30.000000%=100;40.000000%=229;50.000000%=374;60.000000%=548;70.000000%=796;80.000000%=1560;90.000000%=2160;95.000000%=2416;99.000000%=3344;99.500000%=4192;99.900000%=6688;99.950000%=7904;99.990000%=9920;0%=0;0%=0;0%=0;10;12243;733.476282;901.484067;0;0;0.000000%;0.000000;0.000000;0.252835%;0.658576%;2621564;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;11.60%;10.16%;8.21%;11.87%;15.80%;10.87%;5.93%;12.26%;12.62%;0.67%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;180;2597796;0;0;12;1893840;1903044;99.82%
3;fio-2.18;sync-128-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;227018;56754;46189;0;0;0.000000;0.000000;11;18434;2250.819489;1997.099578;1.000000%=12;5.000000%=13;10.000000%=17;20.000000%=57;30.000000%=524;40.000000%=1304;50.000000%=2096;60.000000%=2736;70.000000%=3344;80.000000%=4048;90.000000%=5024;95.000000%=5536;99.000000%=7136;99.500000%=8384;99.900000%=12096;99.950000%=12992;99.990000%=15424;0%=0;0%=0;0%=0;11;18435;2251.026114;1997.103359;0;0;0.000000%;0.000000;0.000000;0.085443%;0.199615%;2621566;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;11.83%;6.82%;3.85%;3.38%;3.82%;3.44%;3.34%;12.11%;30.87%;20.21%;0.33%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;332;2620185;0;0;204;5883968;5901928;99.90%
3;fio-2.18;sync-196-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10486000;357652;89413;29319;0;0;0.000000;0.000000;13;21731;2185.911379;1821.109763;1.000000%=35;5.000000%=71;10.000000%=125;20.000000%=338;30.000000%=772;40.000000%=1368;50.000000%=1976;60.000000%=2512;70.000000%=3088;80.000000%=3664;90.000000%=4768;95.000000%=5216;99.000000%=6496;99.500000%=8096;99.900000%=13504;99.950000%=14912;99.990000%=18048;0%=0;0%=0;0%=0;13;21731;2186.139128;1821.111643;0;0;0.000000%;0.000000;0.000000;0.098227%;0.222825%;2621818;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.12%;1.85%;5.43%;9.47%;7.59%;5.16%;4.57%;16.23%;33.02%;16.22%;0.33%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;300;2605561;0;0;120;5689208;5711168;99.93%
